Line_ID,Order_ID,Order_Date,Ship_Date,Lead_Time,Lead_Speed,Ship_Mode,Customer_ID,Customer_Name,Segment,City,State,Region,Product_ID,Category,Sub-Category,Product_Name,Sales,Quantity,Discount,Is_Discounted,Profit,Year,Month_Num,Month_Name,Profit_Margin,Profit_per_Unit
1,CA-2016-152156,2016-11-08,2016-11-11,3,OK,Second Class,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,$261.96,2,0.00,No,$41.91,2016,11,November,0.16,$20.96
2,CA-2016-152156,2016-11-08,2016-11-11,3,OK,Second Class,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",$731.94,3,0.00,No,$219.58,2016,11,November,0.30,$73.19
3,CA-2016-138688,2016-06-12,2016-06-16,4,OK,Second Class,DV-13045,Darrin Van Huff,Corporate,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,$14.62,2,0.00,No,$6.87,2016,06,June,0.47,$3.44
4,US-2015-108966,2015-10-11,2015-10-18,7,SLOW,Standard Class,SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,$957.58,5,0.45,Yes,-$383.03,2015,10,October,-0.40,-$76.61
5,US-2015-108966,2015-10-11,2015-10-18,7,SLOW,Standard Class,SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,$22.37,2,0.20,Yes,$2.52,2015,10,October,0.11,$1.26
6,CA-2014-115812,2014-06-09,2014-06-14,5,OK,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",$48.86,7,0.00,No,$14.17,2014,06,June,0.29,$2.02
7,CA-2014-115812,2014-06-09,2014-06-14,5,OK,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,$7.28,4,0.00,No,$1.97,2014,06,June,0.27,$0.49
8,CA-2014-115812,2014-06-09,2014-06-14,5,OK,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,$907.15,6,0.20,Yes,$90.72,2014,06,June,0.10,$15.12
9,CA-2014-115812,2014-06-09,2014-06-14,5,OK,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,$18.50,3,0.20,Yes,$5.78,2014,06,June,0.31,$1.93
10,CA-2014-115812,2014-06-09,2014-06-14,5,OK,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,$114.90,5,0.00,No,$34.47,2014,06,June,0.30,$6.89
